"Quốc gia","Tỉnh/Thành phố",Quận/Huyện,"Zip/Postal Code From","Zip/Postal Code To","Trọng lượng From","Trọng lượng To","Shipping Price","Delivery Type"
CAN,*,,,,4501.0000,5000.0000,1279850.0000,"Normal Shipping"
CAN,*,,,,8501.0000,9000.0000,3729770.0000,"Express Saver"
CAN,*,,,,501.0000,1000.0000,1000010.0000,"Express Saver"
CAN,*,,,,12001.0000,12500.0000,2816000.0000,"Normal Shipping"
CAN,*,,,,4001.0000,4500.0000,1177440.0000,"Normal Shipping"
CAN,*,,,,8001.0000,8500.0000,3559160.0000,"Express Saver"
CAN,*,,,,0.0000,500.0000,829400.0000,"Express Saver"
CAN,*,,,,11501.0000,12000.0000,2713590.0000,"Normal Shipping"
CAN,*,,,,3501.0000,4000.0000,1075030.0000,"Normal Shipping"
CAN,*,,,,7501.0000,8000.0000,3388550.0000,"Express Saver"
CAN,*,,,,11001.0000,11500.0000,2611180.0000,"Normal Shipping"
CAN,*,,,,3001.0000,3500.0000,972620.0000,"Normal Shipping"
CAN,*,,,,7001.0000,7500.0000,3217940.0000,"Express Saver"
CAN,*,,,,15001.0000,15500.0000,5947700.0000,"Express Saver"
CAN,*,,,,10501.0000,11000.0000,2508770.0000,"Normal Shipping"
CAN,*,,,,2501.0000,3000.0000,870210.0000,"Normal Shipping"
CAN,*,,,,6501.0000,7000.0000,3047330.0000,"Express Saver"
CAN,*,,,,14501.0000,15000.0000,5777090.0000,"Express Saver"
CAN,*,,,,10001.0000,10500.0000,2406360.0000,"Normal Shipping"
CAN,*,,,,2001.0000,2500.0000,767800.0000,"Normal Shipping"
CAN,*,,,,14001.0000,14500.0000,5606480.0000,"Express Saver"
CAN,*,,,,6001.0000,6500.0000,2876720.0000,"Express Saver"
CAN,*,,,,9501.0000,10000.0000,2303950.0000,"Normal Shipping"
CAN,*,,,,1501.0000,2000.0000,665390.0000,"Normal Shipping"
CAN,*,,,,13501.0000,14000.0000,5435870.0000,"Express Saver"
CAN,*,,,,5501.0000,6000.0000,2706110.0000,"Express Saver"
CAN,*,,,,9001.0000,9500.0000,2201540.0000,"Normal Shipping"
CAN,*,,,,1001.0000,1500.0000,562980.0000,"Normal Shipping"
CAN,*,,,,13001.0000,13500.0000,5265260.0000,"Express Saver"
CAN,*,,,,5001.0000,5500.0000,2535500.0000,"Express Saver"
CAN,*,,,,8501.0000,9000.0000,2099130.0000,"Normal Shipping"
CAN,*,,,,501.0000,1000.0000,460570.0000,"Normal Shipping"
CAN,*,,,,12501.0000,13000.0000,5094650.0000,"Express Saver"
CAN,*,,,,4501.0000,5000.0000,2364890.0000,"Express Saver"
CAN,*,,,,8001.0000,8500.0000,1996720.0000,"Normal Shipping"
CAN,*,,,,0.0000,500.0000,358160.0000,"Normal Shipping"
CAN,*,,,,12001.0000,12500.0000,4924040.0000,"Express Saver"
CAN,*,,,,4001.0000,4500.0000,2194280.0000,"Express Saver"
CAN,*,,,,7501.0000,8000.0000,1894310.0000,"Normal Shipping"
CAN,*,,,,11501.0000,12000.0000,4753430.0000,"Express Saver"
CAN,*,,,,3501.0000,4000.0000,2023670.0000,"Express Saver"
CAN,*,,,,7001.0000,7500.0000,1791900.0000,"Normal Shipping"
CAN,*,,,,15001.0000,15500.0000,3430460.0000,"Normal Shipping"
CAN,*,,,,11001.0000,11500.0000,4582820.0000,"Express Saver"
CAN,*,,,,3001.0000,3500.0000,1853060.0000,"Express Saver"
CAN,*,,,,6501.0000,7000.0000,1689490.0000,"Normal Shipping"
CAN,*,,,,14501.0000,15000.0000,3328050.0000,"Normal Shipping"
CAN,*,,,,10501.0000,11000.0000,4412210.0000,"Express Saver"
CAN,*,,,,2501.0000,3000.0000,1682450.0000,"Express Saver"
CAN,*,,,,14001.0000,14500.0000,3225640.0000,"Normal Shipping"
CAN,*,,,,6001.0000,6500.0000,1587080.0000,"Normal Shipping"
CAN,*,,,,10001.0000,10500.0000,4241600.0000,"Express Saver"
CAN,*,,,,2001.0000,2500.0000,1511840.0000,"Express Saver"
CAN,*,,,,13501.0000,14000.0000,3123230.0000,"Normal Shipping"
CAN,*,,,,5501.0000,6000.0000,1484670.0000,"Normal Shipping"
CAN,*,,,,9501.0000,10000.0000,4070990.0000,"Express Saver"
CAN,*,,,,1501.0000,2000.0000,1341230.0000,"Express Saver"
CAN,*,,,,13001.0000,13500.0000,3020820.0000,"Normal Shipping"
CAN,*,,,,5001.0000,5500.0000,1382260.0000,"Normal Shipping"
CAN,*,,,,9001.0000,9500.0000,3900380.0000,"Express Saver"
CAN,*,,,,1001.0000,1500.0000,1170620.0000,"Express Saver"
CHE,*,,,,5001.0000,5500.0000,1455630.0000,"Normal Shipping"
CHE,*,,,,9001.0000,9500.0000,4636830.0000,"Express Saver"
CHE,*,,,,12501.0000,13000.0000,3070980.0000,"Normal Shipping"
CHE,*,,,,1001.0000,1500.0000,1394910.0000,"Express Saver"
CHE,*,,,,4501.0000,5000.0000,1347940.0000,"Normal Shipping"
CHE,*,,,,12001.0000,12500.0000,2963290.0000,"Normal Shipping"
